Category,Total_Schemes,Avg_NAV,Median_NAV,NAV_Std,Total_AUM_Cr,Num_AMCs,Percentage_by_Count,Percentage_by_AUM
Other,3718,21.103749655406133,12.5471,98.60014125113561,1546375.8852076211,36,27.22,11.49
Equity,3594,74.52632902195047,15.188500000000001,268.03504384655474,6919161.229317691,46,26.31,51.42
Debt,3441,537.5907103587504,22.774,985.3614823090143,3375301.9473142927,44,25.19,25.09
Index,1600,70.024058125,12.5885,418.64379689498173,794753.2200351799,31,11.71,5.91
Hybrid,1051,34.98241205239772,16.6715,80.85747533192695,746247.034356556,42,7.69,5.55
FoF,144,36.37545763888889,18.872799999999998,38.77525742539712,34277.75369768713,23,1.05,0.25
Solution,111,46.01985315315315,23.1008,65.92528178251885,38913.28323767006,14,0.81,0.29
