Category,Total_Schemes,Avg_NAV,Total_NAV,NAV_Std,Num_AMCs,Estimated_AUM_Cr,Percentage
Other,9001,147.70810478796244,1329520.65119645,504.82660152607536,48,13295206.5119645,63.95
Debt,2102,10088.964336082045,21207003.03444446,134683.4326091532,32,212070030.34444457,14.93
Index,1374,51.99879133915575,71446.3393,157.58685563850415,29,714463.393,9.76
Equity,507,39.38360778169625,19967.48914532,112.9226670797331,30,199674.8914532,3.6
Liquid,446,1165.4340248878925,519783.5751,1192.0701345206526,43,5197835.751,3.17
Hybrid,382,44.7002407041623,17075.49194899,78.98423158128415,36,170754.9194899,2.71
Gilt,263,93.64102547528518,24627.5897,362.5430216058211,23,246275.897,1.87
